feature,coef,se,t,p,ci_lo,ci_hi,abs_t
STATE_NAME_OHE_North Carolina,3764.436620030472,1.0020131771177897E7,3.756873368530513E-4,0.9997002448812871,-1.963569383488865E7,1.964322270812871E7,3.756873368530513E-4
STATE_NAME_OHE_Tennessee,3474.7084407007233,1.002013229638382E7,3.467727109705643E-4,0.999723315413354,-1.9635984592471585E7,1.964293400935299E7,3.467727109705643E-4
STATE_NAME_OHE_Texas,11416.101155018065,3.3189005205034696E7,3.4397238135014266E-4,0.9997255497529902,-6.5039034100712985E7,6.5061866303023025E7,3.4397238135014266E-4
STATE_NAME_OHE_Wyoming,2991.2081114041785,1.002013415461494E7,2.9851976682632815E-4,0.9997618156904924,-1.9636471734933876E7,1.9642454151156686E7,2.9851976682632815E-4
STATE_NAME_OHE_New Jersey,2846.7354355299,1.0020131686369238E7,2.8410159912393377E-4,0.9997733197234089,-1.9636611369848177E7,1.9642304840719238E7,2.8410159912393377E-4
STATE_NAME_OHE_Alaska,-2824.4647592124174,1.0020132545517316E7,-2.818789817781394E-4,0.9997750931154028,-1.9642284253973152E7,1.963663532445473E7,2.818789817781394E-4
STATE_NAME_OHE_Kentucky,-2540.5705235263067,1.0020132331908682E7,-2.535466039141987E-4,0.9997976990814603,-1.9641999941064544E7,1.963691880001749E7,2.535466039141987E-4
STATE_NAME_OHE_Louisiana,2025.0491082425522,1.0020133793003155E7,2.0209801087252952E-4,0.9998387491184535,-1.963743718517794E7,1.9641487283394422E7,2.0209801087252952E-4
STATE_NAME_OHE_Mississippi,1931.4202998285389,1.0020132031319821E7,1.927539770725095E-4,0.999846204578613,-1.963752736108702E7,1.9641390201686677E7,1.927539770725095E-4
STATE_NAME_OHE_Virginia,1873.6681847572993,1.002013146670937E7,1.8699037941591155E-4,0.9998508032641149,-1.9637584006565608E7,1.9641331342935123E7,1.8699037941591155E-4
STATE_NAME_OHE_South Dakota,-1838.301413226806,1.0020133104971552E7,-1.8346077781289364E-4,0.9998536194786913,-1.964129918715747E7,1.9637622584331017E7,1.8346077781289364E-4
STATE_NAME_OHE_Georgia,-1818.3963990823825,1.0020131769224962E7,-1.8147430003538086E-4,0.999855204458614,-1.9641276664080005E7,1.9637639871281844E7,1.8147430003538086E-4
STATE_NAME_OHE_New York,-5803.492158620829,3.31890049546071E7,-1.7486189075443262E-4,0.9998604803978053,-6.505625320318854E7,6.5044646218871295E7,1.7486189075443262E-4
STATE_NAME_OHE_Wisconsin,-1520.0316057384478,1.0020132495141901E7,-1.516977551420014E-4,0.9998789627037279,-1.9640979722083867E7,1.963793965887239E7,1.516977551420014E-4
STATE_NAME_OHE_West Virginia,-1470.2273755313945,1.002013437652828E7,-1.4672731125995046E-4,0.9998829285441175,-1.9640933605370957E7,1.9637993150619898E7,1.4672731125995046E-4
STATE_NAME_OHE_Utah,1196.6775833853083,1.0020132457912754E7,1.1942732178558271E-4,0.9999047107840358,-1.963826293992561E7,1.964065629509238E7,1.1942732178558271E-4
STATE_NAME_OHE_Washington,-1175.6406088376561,1.0020131497957306E7,-1.1732786232169918E-4,0.9999063859103163,-1.9640633376605157E7,1.9638282095387485E7,1.1732786232169918E-4
STATE_NAME_OHE_Maryland,-1014.3554344758815,1.0020131922268918E7,-1.0123174448647328E-4,0.999919228754149,-1.9640472923081554E7,1.96384442122126E7,1.0123174448647328E-4
MIN_EDULEVELS_NAME_OHE_Associate degree,1556.2596133071536,1.5582053102048453E7,9.987513218669265E-5,0.9999203111741526,-3.053926782040166E7,3.054238033962827E7,9.987513218669265E-5
STATE_NAME_OHE_Colorado,-648.7833380440956,1.0020131647157107E7,-6.474798544469894E-5,0.9999483385821066,-1.9640106811765973E7,1.9638809245089885E7,6.474798544469894E-5
STATE_NAME_OHE_Oklahoma,602.3562511290082,1.002013351329356E7,6.011459331653328E-5,0.9999520354941427,-1.963885932980425E7,1.9640064042306505E7,6.011459331653328E-5
STATE_NAME_OHE_Nevada,-553.205739304442,1.0020133288155757E7,-5.520941921584574E-5,0.9999559492568191,-1.9640014450524587E7,1.963890803904598E7,5.520941921584574E-5
STATE_NAME_OHE_Massachusetts,-495.97999256196607,1.0020131603841778E7,-4.949835113660627E-5,0.9999605060298591,-1.9639953923522446E7,1.9638961963537324E7,4.949835113660627E-5
"STATE_NAME_OHE_Washington, D.C. (District of Columbia)",-474.0888447637411,1.002013197584216E7,-4.7313632785150565E-5,0.9999622491828992,-1.9639932761495396E7,1.9638984583805867E7,4.7313632785150565E-5
STATE_NAME_OHE_New Mexico,385.81332824668686,1.002013379745948E7,3.85038100334056E-5,0.9999692784044498,-1.963907642969233E7,1.9639848056348827E7,3.85038100334056E-5
STATE_NAME_OHE_Maine,372.3886598690145,1.0020133527429987E7,3.716404166168099E-5,0.9999703473849479,-1.9639089325102907E7,1.9639834102422643E7,3.716404166168099E-5
STATE_NAME_OHE_Oregon,-268.36419914270255,1.0020131965591632E7,-2.6782501474456096E-5,0.9999786306555765,-1.963972701675874E7,1.9639190288360454E7,2.6782501474456096E-5
STATE_NAME_OHE_California,632.318641513172,3.3189004916651286E7,1.9052051819605196E-5,0.9999847986620025,-6.5049817317995004E7,6.505108195527803E7,1.9052051819605196E-5
MIN_EDULEVELS_NAME_OHE_Bachelor's degree,135.5216697907158,1.0020134376901917E7,1.3524935364451388E-5,0.9999892086628872,-1.9639327857057966E7,1.9639598900397547E7,1.3524935364451388E-5
